epoch,total_loss,ce_loss,coral_loss,train_src_acc,val_loss,val_acc,tgt_test_acc
1,0.01382,0.00799,0.00582,0.99717,0.03622,0.98983,0.4272
2,0.01243,0.00833,0.0041,0.99709,0.03267,0.99117,0.4124
3,0.00793,0.00484,0.00309,0.99856,0.02549,0.99367,0.4234
4,0.00727,0.00477,0.00251,0.99852,0.02357,0.993,0.4051
5,0.00714,0.005,0.00214,0.9982,0.03201,0.99167,0.3922
6,0.00586,0.00397,0.00189,0.99885,0.02727,0.9935,0.491
7,0.00408,0.00245,0.00163,0.9993,0.02618,0.99383,0.443
8,0.00423,0.00277,0.00146,0.99917,0.02609,0.99433,0.4392
9,0.00346,0.00213,0.00133,0.99939,0.0251,0.99467,0.4418
10,0.00257,0.00137,0.0012,0.99957,0.02532,0.99483,0.446
11,0.00234,0.00125,0.00109,0.99972,0.02339,0.99517,0.4406
12,0.00175,0.00077,0.00098,0.99989,0.02287,0.994,0.4391
13,0.0015,0.0006,0.0009,0.99994,0.02225,0.9955,0.4436
14,0.00124,0.00042,0.00082,0.99994,0.02096,0.995,0.4456
15,0.00104,0.00029,0.00076,1.0,0.02061,0.9955,0.4499
16,0.00093,0.00023,0.0007,1.0,0.02059,0.99517,0.4525
17,0.00088,0.00022,0.00065,1.0,0.02059,0.99533,0.4484
18,0.00081,0.00019,0.00062,1.0,0.02052,0.99517,0.4575
19,0.0008,0.0002,0.0006,0.99998,0.02054,0.99533,0.4511
20,0.00079,0.00019,0.00059,1.0,0.02035,0.99567,0.4584
