epoch,train_loss,train_acc,val_loss,val_acc,tgt_test_acc
1,0.77921,0.85902,0.15865,0.95889,0.9621
2,0.13496,0.96251,0.09305,0.97467,0.9767
3,0.08507,0.97414,0.07102,0.98022,0.983
4,0.05924,0.98073,0.06048,0.98211,0.9865
5,0.04534,0.98539,0.05325,0.98511,0.9867
6,0.03628,0.98841,0.04779,0.98667,0.9895
7,0.02871,0.99053,0.04694,0.98689,0.9898
8,0.02496,0.99231,0.04475,0.98733,0.9906
9,0.01981,0.99361,0.04243,0.98822,0.9911
10,0.01696,0.99484,0.043,0.98767,0.9908
11,0.01576,0.99508,0.04024,0.98933,0.9915
12,0.01271,0.99622,0.03906,0.989,0.9918
13,0.01228,0.99622,0.03893,0.989,0.992
14,0.01112,0.99653,0.04,0.98856,0.9915
15,0.01003,0.99698,0.03871,0.98922,0.9919
16,0.00912,0.99761,0.03948,0.98933,0.9921
17,0.00841,0.99775,0.03898,0.98944,0.992
18,0.00832,0.99773,0.03878,0.98978,0.9921
19,0.00791,0.99802,0.03861,0.99,0.9924
20,0.00805,0.99788,0.03833,0.99,0.9921
